gestion,departamento,tipo,cantidad
2008,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2008,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,8
2008,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,240
2008,ORURO,EMPRESA UNIPERSONAL,2841
2008,ORURO,SOCIEDAD ANONIMA,37
2008,ORURO,SOCIEDAD COLECTIVA,4
2008,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1108
2008,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2008,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2008,PANDO,EMPRESA UNIPERSONAL,515
2008,PANDO,SOCIEDAD ANONIMA,2
2008,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,109
2008,POTOSI,EMPRESA UNIPERSONAL,2121
2008,POTOSI,SOCIEDAD ANONIMA,25
2008,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2008,POTOSI,SOCIEDAD COLECTIVA,6
2008,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,894
2008,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,1
2008,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2008,SANTA CRUZ,EMPRESA UNIPERSONAL,14374
2008,SANTA CRUZ,SOCIEDAD ANONIMA,834
2008,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,4
2008,SANTA CRUZ,SOCIEDAD COLECTIVA,10
2008,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,7861
2008,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,1
2008,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,137
2008,TARIJA,EMPRESA UNIPERSONAL,3529
2008,TARIJA,SOCIEDAD ANONIMA,42
2008,TARIJA,SOCIEDAD COLECTIVA,2
2008,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1154
2008,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2009,BENI,EMPRESA UNIPERSONAL,2263
2009,BENI,SOCIEDAD ANONIMA,29
2009,BENI,SOCIEDAD COLECTIVA,1
2009,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,426
2009,BENI,SOCIEDAD EN COMANDITA SIMPLE,1
2009,CHUQUISACA,EMPRESA UNIPERSONAL,3387
2009,CHUQUISACA,SOCIEDAD ANONIMA,26
2009,CHUQUISACA,SOCIEDAD ANONIMA MIXTA,1
2009,CHUQUISACA,SOCIEDAD COLECTIVA,2
2009,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,627
2009,COCHABAMBA,EMPRESA UNIPERSONAL,14728
2009,COCHABAMBA,SOCIEDAD ANONIMA,264
2009,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,4
2009,COCHABAMBA,SOCIEDAD COLECTIVA,18
2009,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,3998
2009,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,2
2009,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,9
2009,LA PAZ,EMPRESA UNIPERSONAL,22173
2009,LA PAZ,SOCIEDAD ANONIMA,1276
2009,LA PAZ,SOCIEDAD ANONIMA MIXTA,4
2009,LA PAZ,SOCIEDAD COLECTIVA,41
2009,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,12765
2009,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2009,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,8
2009,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,244
2009,ORURO,EMPRESA UNIPERSONAL,3388
2009,ORURO,SOCIEDAD ANONIMA,38
2009,ORURO,SOCIEDAD COLECTIVA,4
2009,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1241
2009,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2009,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2009,PANDO,EMPRESA UNIPERSONAL,629
2009,PANDO,SOCIEDAD ANONIMA,2
2009,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,120
2009,POTOSI,EMPRESA UNIPERSONAL,2519
2009,POTOSI,SOCIEDAD ANONIMA,28
2009,POTOSI,SOCIEDAD ANONIMA MIXTA,1
2009,POTOSI,SOCIEDAD COLECTIVA,6
2009,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1037
2009,POTOSI,SOCIEDAD EN COMANDITA SIMPLE,3
2009,POTOSI,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2009,SANTA CRUZ,EMPRESA UNIPERSONAL,16909
2009,SANTA CRUZ,SOCIEDAD ANONIMA,900
2009,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,4
2009,SANTA CRUZ,SOCIEDAD COLECTIVA,11
2009,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,8626
2009,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,2
2009,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,140
2009,TARIJA,EMPRESA UNIPERSONAL,4126
2009,TARIJA,SOCIEDAD ANONIMA,41
2009,TARIJA,SOCIEDAD COLECTIVA,1
2009,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,1274
2009,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2010,BENI,EMPRESA UNIPERSONAL,2695
2010,BENI,SOCIEDAD ANONIMA,29
2010,BENI,SOCIEDAD COLECTIVA,1
